@UTF8
@PID:	11312/c-00015419-1
%mor:	verb|see-Fin-Imp-S pron|this-Dem-P1 aux|be-Fin-Ind-Pres-P3 noun|eye-Plur .
%gra:	1|4|ROOT 2|4|NSUBJ 3|4|COP 4|1|CCOMP 5|1|PUNCT
*CHI:	you know xxx the eyes . 23764_27307
%mor:	pron|you-Prs-Nom-S2 verb|know-Fin-Ind-Pres-S2 det|the-Def-Art noun|eye-Plur .
%gra:	1|2|NSUBJ 2|4|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT
%act:	<aft> untranscribed adult conversation
%alt:	<2w-4w> xxx people have eyes
*PAT:	you're very excited . 27307_30590
%mor:	pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 adv|very adj|excited-Pos-S1 .
%gra:	1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
*PAT:	you're very excited . 30590_32460
%mor:	pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 adv|very adj|excited-Pos-S1 .
%gra:	1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
*CHI:	the sky goes yyy ! 32460_35467
%mor:	det|the-Def-Art noun|sky verb|go-Fin-Ind-Pres-S3 !
%gra:	1|2|DET 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
%xpho:	bleU
%par:	very excited and shouting
*CHI:	goes up in the sky (.) the basketball (.) catches and he knocks it on his house and he says (.) oh good and xxx . 35467_44845
%mor:	verb|go-Fin-Ind-Pres-S3 adp|up adp|in det|the-Def-Art noun|sky det|the-Def-Art noun|basketball noun|catch-Plur cconj|and pron|he-Prs-Nom-S3 verb|knock-Fin-Ind-Pres-S3 pron|it-Prs-Acc-S3 adp|on pron|his-Prs-Gen-S3 noun|house cconj|and pron|he-Prs-Nom-S3 verb|say-Fin-Ind-Pres-S3 intj|oh adj|good-Pos-S1 cconj|and .
%gra:	1|21|ROOT 2|1|COMPOUND-PRT 3|5|CASE 4|5|DET 5|1|OBL 6|8|DET 7|8|COMPOUND 8|1|OBJ 9|11|CC 10|11|NSUBJ 11|1|CONJ 12|11|OBJ 13|15|CASE 14|15|NMOD-POSS 15|11|OBL 16|18|CC 17|18|NSUBJ 18|1|CONJ 19|20|DISCOURSE 20|18|CCOMP 21|20|CC 22|1|PUNCT
*FAT:	better get that on tape . 44845_45625
%mor:	adv|well verb|get-Inf-S pron|that-Dem-S1 adp|on noun|tape .
%gra:	1|2|ADVMOD 2|5|ROOT 3|2|OBJ 4|5|CASE 5|2|OBL 6|2|PUNCT
*PAT:	I don't wanna get it because I'm not going to be able to write down what he says . 45625_48925
%mor:	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not adv|wanna verb|get-Inf-S pron|it-Prs-Acc-S3 sconj|because pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not verb|go-Part-Pres-S part|to aux|be-Inf-S adj|able-Pos-S1 part|to verb|write-Inf-S adp|down pron|what-Rel-S1 pron|he-Prs-Nom-S3 verb|say-Fin-Ind-Pres-S3 .
%gra:	1|5|NSUBJ 2|5|AUX 3|5|ADVMOD 4|5|ADVMOD 5|20|ROOT 6|5|OBJ 7|11|MARK 8|11|NSUBJ 9|11|AUX 10|11|ADVMOD 11|5|ADVCL 12|14|MARK 13|14|COP 14|11|XCOMP 15|16|MARK 16|14|XCOMP 17|16|COMPOUND-PRT 18|20|OBJ 19|20|NSUBJ 20|16|CCOMP 21|5|PUNCT
%par:	all laugh except Peter
*FAT:	xxx Petes . 48925_52582
%mor:	noun|Petes .
%gra:	1|1|ROOT 2|1|PUNCT
*CHI:	huh . 52582_53411
%mor:	intj|huh .
%gra:	1|1|ROOT 2|1|PUNCT
%int:	rising
*PAT:	I'll hafta see your house because we don't know . 53411_56207
%mor:	pron|I-Prs-Nom-S1~aux|will-Fin-S adv|hafta verb|see-Inf-S pron|your-Prs-Gen-S2 noun|house sconj|because pron|we-Prs-Nom-P1 aux|do-Fin-Ind-Pres-P1~part|not verb|know-Inf-S .
%gra:	1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|11|ROOT 5|6|NMOD-POSS 6|4|OBJ 7|11|MARK 8|11|NSUBJ 9|11|AUX 10|11|ADVMOD 11|4|ADVCL 12|4|PUNCT
*PAT:	we don't where to go . 56207_57019
%mor:	pron|we-Prs-Nom-P1 aux|do-Fin-Ind-Pres-P1~part|not adv|where part|to verb|go-Inf-S .
%gra:	1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|6|ROOT 5|6|MARK 6|4|ACL 7|4|PUNCT
*PAT:	where should we go ? 57019_58043
%mor:	adv|where aux|should-Fin-S pron|we-Prs-Nom-P1 verb|go-Inf-S ?
%gra:	1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT
*PAT:	should we gotta your [!!] room ? 58043_59197
%mor:	aux|should-Fin-S pron|we-Prs-Nom-P1 verb|gotta-Inf-S pron|your-Prs-Gen-S2 noun|room ?
%gra:	1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|3|PUNCT
*PAT:	or to the living room ? 59197_60238
%mor:	cconj|or adp|to det|the-Def-Art noun|living noun|room ?
%gra:	1|5|CC 2|5|CASE 3|5|DET 4|5|COMPOUND 5|5|ROOT 6|5|PUNCT
*MOT:	I don't know . 60238_60417
%mor:	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
%gra:	1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
*MOT:	where would be a good place ? 60417_61571
%mor:	adv|where aux|would-Fin-S aux|be-Inf-S det|a-Ind-Art adj|good-Pos-S1 noun|place ?
%gra:	1|6|ADVMOD 2|6|AUX 3|6|COP 4|6|DET 5|6|AMOD 6|6|ROOT 7|6|PUNCT
*CHI:	oh (.) right here . 61571_62221
%mor:	intj|oh adv|right adv|here .
%gra:	1|3|DISCOURSE 2|3|ADVMOD 3|3|ROOT 4|3|PUNCT
*PAT:	<right here> [>] ? 62221_63489
%mor:	adv|right adv|here ?
%gra:	1|2|ADVMOD 2|2|ROOT 3|2|PUNCT
*CHI:	oh [<] (.) you left your stuff (.) right there . 63489_65537
%mor:	intj|oh pron|you-Prs-Nom-S2 verb|leave-Fin-Ind-Past-S2 pron|your-Prs-Gen-S2 noun|stuff adv|right adv|there .
%gra:	1|3|DISCOURSE 2|3|NSUBJ 3|7|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|7|ADVMOD 7|3|ADVMOD 8|3|PUNCT
*PAT:	oh (.) what a nice big living room (.) <oh it's so pretty> [>] . 65537_67894
%mor:	intj|oh pron|what-Int-S1 det|a-Ind-Art adj|nice-Pos-S1 adj|big-Pos-S1 noun|living noun|room intj|oh pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|so adj|pretty-Pos-S1 .
%gra:	1|7|DISCOURSE 2|7|NSUBJ 3|7|DET 4|7|AMOD 5|7|AMOD 6|7|COMPOUND 7|12|ROOT 8|12|DISCOURSE 9|12|NSUBJ 10|12|COP 11|12|ADVMOD 12|7|PARATAXIS 13|7|PUNCT
*CHI:	<oh (.) here's your stuff (.) here's your> [<] . 67894_69438
%mor:	intj|oh adv|here~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|stuff adv|here~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 .
%gra:	1|2|DISCOURSE 2|8|ROOT 3|2|COP 4|5|NMOD-POSS 5|2|NSUBJ 6|8|ADVMOD 7|8|COP 8|2|NSUBJ 9|2|PUNCT
%com:	<aft> untranscribed adult conversation
*CHI:	here's your thing . 69438_74021
%mor:	adv|here~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|thing .
%gra:	1|4|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|1|PUNCT
*PAT:	thank_you . 74021_75159
%mor:	noun|thankyou .
%gra:	1|1|ROOT 2|1|PUNCT
*CHI:	here's your big thing . 75159_77223
%mor:	adv|here~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 adj|big-Pos-S1 noun|thing .
%gra:	1|5|ROOT 2|1|COP 3|5|NMOD-POSS 4|5|AMOD 5|1|NSUBJ 6|1|PUNCT
*PAT:	uhhuh . 77223_78069
%mor:	intj|uhhuh .
%gra:	1|1|ROOT 2|1|PUNCT
*CHI:	this is your [!!] thing . 78069_79743
%mor:	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|thing .
%gra:	1|4|NSUBJ 2|4|COP 3|4|NMOD-POSS 4|4|ROOT 5|4|PUNCT
*PAT:	oh we have the car too . 79743_80669
%mor:	intj|oh pron|we-Prs-Nom-P1 verb|have-Fin-Ind-Pres-P1 det|the-Def-Art noun|car adv|too .
%gra:	1|3|DISCOURSE 2|3|NSUBJ 3|6|ROOT 4|5|DET 5|3|OBJ 6|3|ADVMOD 7|3|PUNCT
*PAT:	how_about that ? 80669_81791
%mor:	intj|howabout pron|that-Dem-S1 ?
%gra:	1|2|DISCOURSE 2|2|ROOT 3|2|PUNCT
*PAT:	look at +... 81791_84781
%mor:	verb|look-Fin-Imp-S adp|at +...
%gra:	1|2|ROOT 2|1|OBL 3|1|PUNCT
*PAT:	(.) Jenny's got so tall . 84781_85529
%mor:	noun|Jenny~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S adv|so adj|tall-Pos-S1 .
%gra:	1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|ADVMOD 5|3|XCOMP 6|3|PUNCT
*LOI:	<yes she really has> [>] . 85529_87236
%mor:	intj|yes pron|she-Prs-Nom-S3 adv|really verb|have-Fin-Ind-Pres-S3 .
%gra:	1|4|DISCOURSE 2|4|NSUBJ 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
*CHI:	<I'm taller> [<] ! 87236_88130
%mor:	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|tall-Cmp-S1 !
%gra:	1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
%par:	still excited and shouting
*CHI:	<I'm taller> [<] ! 88130_90178
%mor:	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|tall-Cmp-S1 !
%gra:	1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
*CHI:	our car works . 90178_90503
%mor:	pron|our-Prs-Gen-P1 noun|car verb|work-Fin-Ind-Pres-S3 .
%gra:	1|2|NMOD-POSS 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
*CHI:	our car works . 90503_91478
%mor:	pron|our-Prs-Gen-P1 noun|car verb|work-Fin-Ind-Pres-S3 .
%gra:	1|2|NMOD-POSS 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
*MOT:	we went to the pediatrician last Friday and he measured her for her age and she's huge for her age . 91478_95818
%mor:	pron|we-Prs-Nom-P1 verb|go-Fin-Ind-Past-P1 adp|to det|the-Def-Art noun|pediatrician adj|last-Pos-S1 noun|Friday cconj|and pron|he-Prs-Nom-S3 verb|measure-Fin-Ind-Past-S3 pron|her-Prs-Acc-S3 adp|for pron|her-Prs-Gen-S3 noun|age cconj|and pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|huge-Pos-S1 adp|for pron|her-Prs-Gen-S3 noun|age .
%gra:	1|2|NSUBJ 2|21|ROOT 3|5|CASE 4|5|DET 5|2|OBL 6|7|AMOD 7|2|OBL-TMOD 8|10|CC 9|10|NSUBJ 10|2|CONJ 11|10|OBJ 12|14|CASE 13|14|NMOD-POSS 14|10|OBL 15|18|CC 16|18|NSUBJ 17|18|COP 18|2|CONJ 19|21|CASE 20|21|NMOD-POSS 21|18|OBL 22|2|PUNCT
*CHI:	I played a somersault . 95818_100776
%mor:	pron|I-Prs-Nom-S1 verb|play-Fin-Ind-Past-S1 det|a-Ind-Art noun|somersault .
%gra:	1|2|NSUBJ 2|4|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT
%com:	untranscribed adult conversation
*PAT:	tackle (.) tackle (.) who tackled you ? 100776_119598
%mor:	noun|tackle noun|tackle pron|who-Rel-S1 verb|tackle-Fin-Ind-Past-S3 pron|you-Prs-Acc-S2 ?
%gra:	1|2|COMPOUND 2|5|ROOT 3|4|NSUBJ 4|2|ACL-RELCL 5|4|OBJ 6|2|PUNCT
%par:	<bef> Peter shouting
*CHI:	&=laughs . 119598_120475
*MOT:	Pete (.) you wanna show them your room ? 120475_122085
%mor:	noun|Pete pron|you-Prs-Nom-S2 aux|wanna-Fin-S verb|show-Inf-S pron|they-Prs-Acc-P3 pron|your-Prs-Gen-S2 noun|room ?
%gra:	1|4|VOCATIVE 2|4|NSUBJ 3|4|AUX 4|7|ROOT 5|4|IOBJ 6|7|NMOD-POSS 7|4|OBJ 8|4|PUNCT
*CHI:	I wanna show you room . 122085_123856
%mor:	pron|I-Prs-Nom-S1 aux|wanna-Fin-S verb|show-Inf-S pron|you-Prs-Gen-S2 noun|room .
%gra:	1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|3|PUNCT
*MOT:	I don't know where it would be easiest for you to +... 123856_125758
%mor:	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S adv|where pron|it-Prs-Nom-S3 aux|would-Fin-S aux|be-Inf-S adj|easy-Sup-S1 adp|for pron|you-Prs-Acc-S2 part|to +...
%gra:	1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|12|ROOT 5|4|OBJ 6|9|NSUBJ 7|9|AUX 8|9|COP 9|5|ADVCL-RELCL 10|11|CASE 11|9|OBL 12|4|PUNCT 13|4|PUNCT
*PAT:	well (.) this is nice because_of the rug but there's no a +... 125758_128927
%mor:	intj|well pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 adj|nice-Pos-S1 adp|becauseof det|the-Def-Art noun|rug cconj|but pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|no-Def det|a-Ind-Art +...
%gra:	1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|12|ROOT 5|7|CASE 6|7|DET 7|4|OBL 8|10|CC 9|10|EXPL 10|4|CONJ 11|12|DET 12|10|NSUBJ 13|4|PUNCT
*MOT:	yeah (.) fine . 128927_129805
%mor:	intj|yeah adj|fine-Pos-S1 .
%gra:	1|2|DISCOURSE 2|2|ROOT 3|2|PUNCT
*CHI:	why don't I show me your toy (.) xxx (.) toy ! 129805_133560
%mor:	adv|why aux|do-Fin-Ind-Pres-S1~part|not pron|I-Prs-Nom-S1 verb|show-Inf-S pron|I-Prs-Acc-S1 pron|your-Prs-Gen-S2 noun|toy noun|toy !
%gra:	1|5|ADVMOD 2|5|AUX 3|5|ADVMOD 4|5|NSUBJ 5|9|ROOT 6|5|IOBJ 7|9|NMOD-POSS 8|9|COMPOUND 9|5|OBJ 10|5|PUNCT
*CHI:	toy ! 133560_137136
%mor:	noun|toy !
%gra:	1|1|ROOT 2|1|PUNCT
%act:	<aft> running out of room , laughing
*PAT:	where's your room Peter ? 137136_147685
%mor:	adv|where~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|room noun|Peter ?
%gra:	1|5|ROOT 2|1|COP 3|5|NMOD-POSS 4|5|COMPOUND 5|1|NSUBJ 6|1|PUNCT
*CHI:	upstairs . 147685_149456
%mor:	noun|upstairs-Plur .
%gra:	1|1|ROOT 2|1|PUNCT
*PAT:	uhhuh (.) can we see it ? 149456_150643
%mor:	intj|uhhuh aux|can-Fin-S pron|we-Prs-Nom-P1 verb|see-Inf-S pron|it-Prs-Acc-S3 ?
%gra:	1|4|DISCOURSE 2|4|AUX 3|4|NSUBJ 4|5|ROOT 5|4|OBJ 6|4|PUNCT
*CHI:	I wan(t) (t)a show you . 150643_152723
%mor:	pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 part|to verb|show-Inf-S pron|you-Prs-Acc-S2 .
%gra:	1|2|NSUBJ 2|5|ROOT 3|4|MARK 4|2|XCOMP 5|4|IOBJ 6|2|PUNCT
*CHI:	come see this (.) is this new (.) a don't know (.) window xxx . 152723_173236
%mor:	verb|come-Fin-Imp-S verb|see-Fin-Imp-S pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|this-Def-Dem adj|new-Pos-S1 noun|a aux|do-Fin-Imp-S~part|not verb|know-Fin-Imp-S noun|window .
%gra:	1|11|ROOT 2|1|XCOMP 3|6|NSUBJ 4|6|COP 5|6|DET 6|2|CCOMP 7|10|CC 8|10|AUX 9|10|ADVMOD 10|1|PARATAXIS 11|10|OBJ 12|1|PUNCT
%act:	<aft> going upstairs
%com:	<aft> break in interaction
*PAT:	is that new ? 173236_174422
%mor:	aux|be-Fin-Ind-Pres-S3 det|that-Def-Dem adj|new-Pos-S1 ?
%gra:	1|3|COP 2|3|DET 3|3|ROOT 4|3|PUNCT
*CHI:	yeah . 174422_175040
%mor:	intj|yeah .
%gra:	1|1|ROOT 2|1|PUNCT
*LOI:	the window new ? 175040_176113
%mor:	det|the-Def-Art noun|window adj|new-Pos-S1 ?
%gra:	1|2|DET 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
*CHI:	broom@o (.) brmm@o (.) brmm@o . 176113_179786
%mor:	noun|broom noun|brmm noun|brmm .
%gra:	1|3|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT
%act:	going into Peter's room
*PAT:	oh (.) what a nice room . 179786_180903
%mor:	intj|oh pron|what-Int-S1 det|a-Ind-Art adj|nice-Pos-S1 noun|room .
%gra:	1|5|DISCOURSE 2|5|DET-PREDET 3|5|DET 4|5|AMOD 5|5|ROOT 6|5|PUNCT
*CHI:	this is a xxx room . 180903_182427
%mor:	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|room .
%gra:	1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT
%alt:	<4w> dancing
*CHI:	brmm@o (.) brmm@o (.) brmm@o (.) brmm@o . 182427_185069
%mor:	noun|brmm noun|brmm noun|brmm noun|brmm .
%gra:	1|4|ROOT 2|1|FLAT 3|4|COMPOUND 4|1|LIST 5|1|PUNCT
*LOI:	<oh what a nice room> [>] . 185069_187423
%mor:	intj|oh pron|what-Int-S1 det|a-Ind-Art adj|nice-Pos-S1 noun|room .
%gra:	1|5|DISCOURSE 2|5|DET-PREDET 3|5|DET 4|5|AMOD 5|5|ROOT 6|5|PUNCT
*PAT:	<oh what a nice room> [<] . 187423_187785
%mor:	intj|oh pron|what-Int-S1 det|a-Ind-Art adj|nice-Pos-S1 noun|room .
%gra:	1|5|DISCOURSE 2|5|DET-PREDET 3|5|DET 4|5|AMOD 5|5|ROOT 6|5|PUNCT
*PAT:	oh (.) this is great . 187785_188193
%mor:	intj|oh pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 adj|great-Pos-S1 .
%gra:	1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|4|ROOT 5|4|PUNCT
*CHI:	ow (.) ring (.) ring (.) ring (.) ring (.) ring . 188193_196751
%mor:	intj|ow noun|ring noun|ring noun|ring noun|ring noun|ring .
%gra:	1|6|DISCOURSE 2|3|COMPOUND 3|4|COMPOUND 4|6|COMPOUND 5|6|COMPOUND 6|6|ROOT 7|6|PUNCT
%com:	untranscribed adult conversation
*CHI:	<want show you> [//] want me to show you the downstairs ? 196751_214379
%mor:	verb|want-Fin-Imp-S pron|I-Prs-Acc-S1 part|to verb|show-Inf-S pron|you-Prs-Acc-S2 det|the-Def-Art noun|downstairs ?
%gra:	1|7|ROOT 2|1|OBJ 3|4|MARK 4|1|XCOMP 5|4|IOBJ 6|7|DET 7|4|OBJ 8|1|PUNCT
*PAT:	you wanna show us the downstairs ? 214379_215934
%mor:	pron|you-Prs-Nom-S2 aux|wanna-Fin-S verb|show-Inf-S pron|we-Prs-Acc-P1 det|the-Def-Art noun|downstairs ?
%gra:	1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|3|IOBJ 5|6|DET 6|3|OBJ 7|3|PUNCT
*PAT:	well (.) what_about Jenny's room ? 215934_216794
%mor:	intj|well noun|whatabout noun|Jenny~part|s noun|room ?
%gra:	1|5|DISCOURSE 2|5|COMPOUND 3|5|NMOD-POSS 4|3|CASE 5|5|ROOT 6|5|PUNCT
*CHI:	oh (.) that's here (.) <brmm@o (.) brmm@o (.) brmm@o> [>] . 216794_224597
%mor:	intj|oh pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adv|here noun|brmm noun|brmm noun|brmm .
%gra:	1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|7|ROOT 5|7|COMPOUND 6|7|COMPOUND 7|4|PARATAXIS 8|4|PUNCT
*PAT:	<hm: [= thinking]> [<] . 224597_226363
%mor:	intj|hm .
%gra:	1|1|ROOT 2|1|PUNCT
%com:	<aft> break in interaction
%act:	<aft> untranscribed adult conversation
*CHI:	xxx (.) xxx (.) xxx (.) xxx (.) xxx . 226363_247584
%com:	still excited
*CHI:	choo@o (.) choo@o (.) choo@o (.) choo@o (.) choo@o (.) choo@o . 247584_281618
%mor:	x|choo x|choo x|choo x|choo x|choo x|choo .
%gra:	1|6|ROOT 2|1|FLAT 3|1|FLAT 4|1|FLAT 5|1|FLAT 6|1|FLAT 7|1|PUNCT
*MOT:	show them the tv room . 281618_281875
%mor:	verb|show-Inf-S pron|they-Prs-Acc-P3 det|the-Def-Art noun|TV noun|room .
%gra:	1|5|ROOT 2|1|IOBJ 3|5|DET 4|5|COMPOUND 5|1|OBJ 6|1|PUNCT
*CHI:	tv room (.) brmm@o (.) brmm@o (.) brmm@o (.) brmm@o . 281875_286705
%mor:	noun|TV noun|room noun|brmm noun|brmm noun|brmm noun|brmm .
%gra:	1|2|COMPOUND 2|6|ROOT 3|2|APPOS 4|2|LIST 5|6|COMPOUND 6|2|LIST 7|2|PUNCT
%act:	running
%com:	<aft> untranscribed adult conversation
*CHI:	you left one of your barrels . 286705_322369
%mor:	pron|you-Prs-Nom-S2 verb|leave-Fin-Ind-Past-S2 num|one adp|of pron|your-Prs-Gen-S2 noun|barrel-Plur .
%gra:	1|2|NSUBJ 2|6|ROOT 3|2|OBJ 4|6|CASE 5|6|NMOD-POSS 6|3|NMOD 7|2|PUNCT
*PAT:	you [//] we left one of our barrels ? 322369_324226
%mor:	pron|we-Prs-Nom-P1 verb|leave-Fin-Ind-Past-P1 num|one adp|of pron|our-Prs-Gen-P1 noun|barrel-Plur ?
%gra:	1|2|NSUBJ 2|6|ROOT 3|2|OBJ 4|6|CASE 5|6|NMOD-POSS 6|3|NMOD 7|2|PUNCT
*CHI:	yeah (.) daddy's going to stay here . 324226_335968
%mor:	intj|yeah noun|daddy~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S part|to verb|stay-Inf-S adv|here .
%gra:	1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|7|ROOT 5|6|MARK 6|4|XCOMP 7|6|ADVMOD 8|4|PUNCT
%int:	<7w> rising
%com:	untranscribed adult conversation
*CHI:	daddy's going to stay here . 335968_343937
%mor:	noun|daddy~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S part|to verb|stay-Inf-S adv|here .
%gra:	1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|5|MARK 5|3|XCOMP 6|5|ADVMOD 7|3|PUNCT
%int:	<1w-4w> rising
*LOI:	daddy go out ? 343937_348208
%mor:	noun|daddy verb|go-Fin-Imp-S adv|out ?
%gra:	1|2|NSUBJ 2|3|ROOT 3|2|ADVMOD 4|2|PUNCT
*CHI:	daddy's going to stay here . 348208_350020
%mor:	noun|daddy~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S part|to verb|stay-Inf-S adv|here .
%gra:	1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|5|MARK 5|3|XCOMP 6|5|ADVMOD 7|3|PUNCT
%exp:	wrapped present
%int:	rising
*CHI:	daddy's going to stay here . 350020_351378
%mor:	noun|daddy~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S part|to verb|stay-Inf-S adv|here .
%gra:	1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|5|MARK 5|3|XCOMP 6|5|ADVMOD 7|3|PUNCT
*CHI:	he just (.) up (.) brmm@o (.) brmm@o (.) brmm@o . 351378_355695
%mor:	pron|he-Prs-Nom-S3 adv|just adp|up noun|brmm noun|brmm noun|brmm .
%gra:	1|6|ROOT 2|1|ADVMOD 3|6|CASE 4|6|COMPOUND 5|6|COMPOUND 6|1|PARATAXIS 7|1|PUNCT
%act:	<4w-6w> taking toys from bag
*CHI:	what's this . 355695_365173
%mor:	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 .
%gra:	1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
